Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
41089,Text,2012-10-17,The Sign of the Stranger,en,"Le Queux, William, 1864-1927",Fiction; Detective and mystery stories; Love stories,PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
41090,Text,2012-10-17,At the Sign of the Sword: A Story of Love and War in Belgium,en,"Le Queux, William, 1864-1927","World War, 1914-1918 -- Belgium -- Fiction",PR,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction
41091,Text,2012-10-17,"The Price of Power
Being Chapters from the Secret History of the Imperial Court of Russia",en,"Le Queux, William, 1864-1927",Conspiracies -- Fiction; British -- Russia -- Fiction; Russians -- England -- Fiction,PR,Browsing: Politics; Browsing: Fiction
41092,Text,2012-10-17,Whatsoever a Man Soweth,en,"Le Queux, William, 1864-1927",London (England) -- Fiction; Man-woman relationships -- Fiction; Mystery fiction,PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
41093,Text,2012-10-17,Her Royal Highness: A Romance of the Chancelleries of Europe,en,"Le Queux, William, 1864-1927",Spy stories; Princesses -- Fiction; Mystery fiction,PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction
41094,Text,2012-10-17,Eastern Nights - and Flights: A Record of Oriental Adventure.,en,"Bott, Alan, 1893-1952","World War, 1914-1918 -- Personal narratives, English; World War, 1914-1918 -- Prisoners and prisons, Turkish",D501,Browsing: History - General; Browsing: History - Warfare
41095,Text,2012-10-17,"The Journal of the Debates in the Convention which Framed the Constitution of the United States, May-September 1787. Volume 2",en,"United States. Constitutional Convention (1787); Madison, James, 1751-1836; Hunt, Gaillard, 1862-1924 [Editor]",Constitutional law -- United States; Constitutions -- United States; United States. Constitution,KF,Browsing: History - American; Browsing: Law & Criminology
41096,Text,2012-10-18,"All-Hallow Eve; or, The Test of Futurity.",en,"Curtis, Robert",Ireland -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41097,Text,2012-10-18,Mary Lee the Red Cross Girl,en,"Hart, Helen, 1890-1952; Carsey, Alice [Illustrator]","Friendship -- Juvenile fiction; Red Cross and Red Crescent -- Juvenile fiction; World War, 1914-1918 -- Juvenile fiction; Farm life -- Juvenile fiction; Optimism -- Juvenile fiction",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction
41098,Text,2012-10-18,The Vinland Champions,en,"Liljencrantz, Ottilie A. (Ottilia Adelina), 1876-1910; Kinney, Margaret West, 1872-1952 [Illustrator]; Kinney, Troy, 1871-1938 [Illustrator]",Discoveries in geography -- Fiction; America -- Discovery and exploration -- Norse -- Fiction,PS,Browsing: History - General; Browsing: Travel & Geography; Browsing: Fiction
